word,frequency
quarter,17
lowered,8
signing,77
copies,25
cbo,12
confirmed,23
crowds,69
investment,45
public,180
annihilating,1
unacceptable,11
elected,105
yesterdayhttp,3
lending,5
entrepreneurs,243
slowing,7
produce,21
products,42
inconsiderate,2
inconvenient,1
almost,224
campaigned,15
previous,39
newly,19
emails,72
scientists,14
manipulated,7
data,19
brazen,2
fitch,1
outlook,8
pretty,47
diplomacy,5
begs,4
pleads,2
bows,3
trumpwaikiki,32
ruins,6
belong,15
cm,2
mondale,3
states,712
recklessly,7
employee,12
avert,2
european,47
newt,6
gingrich,2
agenda,113
opus,1
robertgbeckel,2
figures,11
include,31
howtogettough,1
capitalistic,1
harsh,9
truths,2
lays,4
bold,22
wealth,54
though,105
met,97
newtgingrich,19
thinker,6
might,59
declaration,9
constitution,26
iontv,26
debatehttp,7
copy,32
onshoring,1
rt,162
barbarajwalters,26
realdonaldtrump,8629
fascinating,14
production,31
ion,3
admin,14
alum,2
nukes,14
trumps,40
warns,6
tipping,3
point,215
via,857
lectured,5
belts,1
bashes,2
seven,23
stamps,18
united,678
illegal,338
immigration,316
wrecking,4
aimed,4
forty,3
school,98
warrior,19
credo,2
victor,5
spoils,2
reagan,107
welfare,24
purpose,26
eliminate,13
existence,9
legal,88
simple,69
smart,386
immigrant,22
applying,2
pakistan,15
navy,55
seals,8
osama,3
whether,78
axis,1
economies,7
spin,15
establishment,59
architect,16
responsible,52
losing,127
becoming,59
duscussing,1
timetogettoughhttp,2
presidency,98
grovernorquist,1
moderatinghttp,1
acuconservative,4
alcardenasacu,3
conservative,77
union,72
sponsor,3
morningjoe,3
joenbc,23
morningmika,16
racehttp,1
sarah,22
pierstonight,2
economyhttp,3
bit,35
appealing,2
hosting,60
consider,53
diverse,5
audience,30
davidbrody,1
ralphreed,14
ffc,3
jeffrey,28
lord,41
adviser,12
endorsed,45
tuesday,136
playing,158
